,Year,SSB,SSB.CV
1,1989,4573,0.334
2,1990,3412,0.344
3,1991,3169,0.31
4,1992,4470,0.309
5,1993,4293,0.292
6,1994,2976,0.326
7,1995,3656,0.371
8,1996,4220,0.394
9,1997,5272,0.376
10,1998,3255,0.31
11,1999,3062,0.343
12,2000,6197,0.375
13,2001,13651,0.339
14,2002,17109,0.32
15,2003,12735,0.339
16,2004,9913,0.291
17,2005,7311,0.329
18,2006,7339,0.293
19,2007,6133,0.302
20,2008,6454,0.306
21,2009,10152,0.296
22,2010,13560,0.319
23,2011,9434,0.307
24,2012,12672,0.308
25,2013,12972,0.397
26,2014,18394,0.319
27,2015,16825,0.313
28,2016,18112,0.327
29,2017,17606,0.315
30,2018,18532,0.291
31,2019,20128,0.28
32,2020,20789,0.289
33,2021,23512,0.292
34,2022,24680,0.307
35,2023,24572,0.325
